Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Gear (Calculated)* (position)
9173,-4.69,-4.69,15.50,8,0.31,799,0.00,0.00,14.69,16,9.88,8.00,118,5.37,-9.26,3.73,1.26,0.00,-1.08,3.53,0.68,0.00,0.00,15.30,1
9262,-3.91,-4.69,15.62,8,0.56,805,0.00,0.00,10.98,16,15.51,10.50,118,6.24,-7.46,3.73,1.68,0.00,-1.08,9.02,0.88,0.00,0.00,15.20,1
9351,-3.12,-4.69,15.50,8,0.71,878,0.00,0.00,12.71,16,22.19,15.00,118,8.56,-4.80,12.02,1.92,0.00,-1.08,10.20,0.98,0.00,0.00,15.20,1
9440,-3.12,-4.69,15.73,8,0.50,1080,0.00,0.00,13.98,16,25.00,21.50,118,10.74,-4.66,15.68,1.96,0.00,-1.08,0.00,0.64,0.00,0.00,15.40,1
9529,-3.91,-3.91,15.85,8,0.39,1375,0.00,0.00,16.52,16,21.48,16.50,118,8.56,-7.23,13.20,1.36,0.00,-1.08,0.00,0.64,0.00,0.00,15.60,1
9618,-5.47,-4.69,15.27,8,0.28,1553,0.00,0.00,16.29,16,16.91,21.00,118,6.96,-8.68,4.15,1.30,0.00,-1.39,0.00,0.64,0.00,0.00,15.50,1
9707,-4.69,-4.69,14.81,8,0.22,1552,0.00,0.00,15.69,16,11.99,17.50,118,5.08,-9.61,3.86,1.28,0.00,-1.39,0.00,0.64,0.00,0.00,15.10,1
9796,-4.69,-4.69,14.81,8,0.18,1526,0.00,0.00,15.27,16,11.64,11.50,118,4.79,-10.21,3.72,1.28,0.00,-1.39,0.00,0.64,0.00,0.00,16.20,1
9885,-3.91,-4.69,14.70,8,0.17,1416,0.00,0.00,14.71,16,11.29,11.50,118,4.21,-10.64,3.65,1.28,0.00,-1.39,0.00,0.64,0.00,0.00,15.70,1
9974,-1.56,-3.91,14.81,8,0.17,1338,0.00,0.00,14.71,16,10.94,11.00,118,3.77,-10.89,3.78,1.28,0.00,-1.39,0.00,0.64,0.00,0.00,15.40,1
10063,-0.78,-3.91,15.50,8,0.21,1180,0.00,0.00,14.71,16,10.59,2.50,118,3.77,-10.93,3.80,1.30,0.00,-1.39,0.00,0.64,0.00,0.00,15.40,1
10152,0.00,-3.91,15.73,8,0.22,1119,0.00,0.00,14.71,16,10.23,10.50,118,3.77,-10.79,4.04,1.32,0.00,-1.08,0.00,0.64,0.00,0.00,15.30,1
10241,0.78,-3.12,15.73,8,0.23,1088,0.00,0.00,14.71,16,9.88,16.50,118,4.06,-10.64,4.10,1.32,0.00,-1.08,0.00,0.64,0.00,0.00,15.30,1
10330,1.56,-3.12,16.19,8,0.23,1061,0.00,0.00,14.71,16,9.88,17.50,118,4.06,-10.52,4.04,1.32,0.00,-1.08,0.00,0.64,0.00,0.00,15.50,1
10420,3.12,-3.12,16.19,8,0.22,1056,0.00,0.00,14.71,16,9.88,17.50,118,4.21,-10.48,3.93,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,15.60,1
10508,4.69,-3.12,16.19,8,0.22,1050,0.00,0.00,14.71,16,9.88,17.50,118,4.21,-10.42,3.93,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,15.70,1
10597,3.91,-3.12,16.77,8,0.22,1024,0.00,0.00,14.71,16,9.88,17.50,118,4.21,-10.42,3.83,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,15.90,1
10686,2.34,-3.12,16.19,8,0.22,1018,0.00,0.00,14.71,16,9.88,17.50,118,4.21,-10.42,3.75,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,16.10,1
10775,1.56,-2.34,15.27,8,0.22,1011,0.00,0.00,14.71,16,9.88,17.50,118,4.35,-10.40,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,16.10,1
10864,0.00,-2.34,15.27,8,0.22,987,0.00,0.00,14.71,16,9.88,17.50,118,4.35,-10.38,3.65,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,16.10,1
