Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
36715,14.93,0.30,2053,0.00,0.00,16,40.82,40.00,9.14,-5.61,20.57,-1.08,0.98
36903,14.70,0.28,2196,0.00,0.00,16,42.58,42.50,8.85,-5.98,20.50,-1.70,0.98
37090,14.01,0.29,2274,0.00,0.00,16,44.69,43.50,8.56,-6.19,21.71,-2.01,0.98
37293,14.13,0.30,2400,0.00,0.00,16,45.04,45.00,8.42,-6.23,23.63,-2.32,0.98
37481,14.24,0.29,2513,0.00,0.00,16,44.69,44.50,8.27,-6.36,24.32,-3.25,0.96
37669,13.90,0.27,2574,0.00,0.00,16,45.04,45.00,7.98,-6.83,23.25,-3.56,0.94
37856,14.01,0.26,2684,0.00,0.00,16,44.69,44.50,7.55,-7.15,23.14,-3.87,0.92
38044,13.90,0.24,2737,0.00,0.00,16,44.34,44.00,7.40,-7.54,21.88,-3.87,0.90
38231,13.55,0.18,2774,0.00,0.00,16,37.66,44.00,6.09,-9.46,16.14,-4.18,0.64
38419,11.71,0.11,2684,0.00,0.00,16,17.62,26.00,3.92,-11.06,8.96,-3.87,0.64
38622,11.37,0.12,2374,0.00,0.00,16,11.99,13.50,3.34,-11.39,9.61,-2.63,0.64
38809,11.37,0.11,1982,0.00,0.00,16,11.99,13.50,3.19,-11.41,7.32,-1.70,0.64
38997,11.48,0.15,1652,0.00,0.00,16,11.99,21.50,3.48,-11.12,7.57,-1.39,0.64
39184,12.17,0.17,1292,0.00,0.00,16,10.94,20.50,4.21,-10.42,7.29,-1.39,0.64
39370,14.24,0.13,1305,0.00,0.00,16,10.94,20.00,4.64,-10.11,5.72,-1.39,0.64
39558,14.59,0.13,1280,0.00,0.00,16,10.94,20.50,4.50,-10.15,5.65,-1.39,0.64
39747,13.44,0.13,1258,0.00,0.00,16,10.94,20.00,4.64,-10.06,5.74,-1.39,0.64
39950,12.98,0.13,1258,0.00,0.00,16,10.94,19.50,4.64,-10.09,5.43,-1.39,0.64
40125,13.21,0.13,1238,0.00,0.00,16,10.59,19.00,4.50,-10.11,5.40,-1.39,0.64
40328,13.21,0.15,1218,0.00,0.00,16,10.59,19.50,4.79,-9.92,5.91,-1.39,0.66
40516,13.32,0.15,1238,0.00,0.00,16,10.94,16.00,4.93,-9.78,6.00,-1.39,0.66
40703,13.21,0.15,1244,0.00,0.00,16,10.94,14.50,4.93,-9.73,6.15,-1.39,0.68
40891,13.21,0.17,1250,0.00,0.00,16,11.29,14.00,5.08,-9.46,6.84,-1.39,0.70
41078,13.44,0.15,1286,0.00,0.00,16,14.45,13.00,5.22,-9.51,6.48,-1.39,0.70
41266,13.44,0.15,1333,0.00,0.00,16,18.32,16.50,5.08,-9.57,6.55,-1.39,0.72
41454,13.44,0.15,1419,0.00,0.00,16,23.59,21.50,5.22,-9.46,7.29,-1.39,0.74
41641,14.24,0.18,1460,0.00,0.00,16,26.05,26.50,5.37,-9.20,8.52,-1.39,0.76
41844,14.47,0.18,1459,0.00,0.00,16,26.41,26.00,5.66,-8.91,8.87,-1.39,0.76
42032,14.59,0.18,1446,0.00,0.00,16,26.41,26.00,5.95,-8.72,9.13,-1.39,0.76
42219,14.59,0.19,1452,0.00,0.00,16,26.76,26.00,6.09,-8.57,9.26,-1.39,0.78
42407,14.59,0.19,1464,0.00,0.00,16,26.76,26.50,6.24,-8.51,9.35,-1.39,0.78
42594,14.47,0.19,1467,0.00,0.00,16,26.76,26.50,6.24,-8.49,9.22,-1.39,0.78
42782,14.59,0.19,1485,0.00,0.00,16,27.11,27.00,6.24,-8.49,9.35,-1.39,0.78
42969,14.59,0.19,1495,0.00,0.00,16,27.46,27.00,6.24,-8.51,9.44,-1.39,0.78
43172,14.47,0.17,1510,0.00,0.00,16,26.76,27.00,5.95,-8.80,8.39,-1.39,0.72
