Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
27219,0.00,-2.34,24.23,10,0.17,3294,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.17,1.68,0.00,99.90
27290,0.00,-2.34,24.12,10,0.17,3265,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.56,1.68,0.00,99.90
27353,0.00,-2.34,24.23,10,0.18,3260,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.35,1.68,0.00,99.90
27416,0.00,-2.34,24.23,10,0.18,3260,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.70,1.70,0.00,99.90
27480,0.00,-2.34,24.23,10,0.18,3276,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.56,1.68,0.00,99.90
27544,0.00,-2.34,24.35,10,0.18,3254,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.66,1.70,0.00,99.90
27609,0.00,-2.34,23.89,10,0.17,3264,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.39,1.68,0.00,99.90
27669,0.00,-2.34,24.46,10,0.17,3232,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.39,1.68,0.00,99.90
27731,0.00,-2.34,23.89,10,0.17,3249,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.39,1.68,0.00,99.90
27796,0.00,-2.34,23.77,10,0.17,3221,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.53,1.68,0.00,99.90
27882,0.00,-2.34,24.12,10,0.18,3232,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.70,1.68,0.00,99.90
27929,0.00,-2.34,24.46,10,0.18,3201,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.53,1.70,0.00,99.90
27988,0.00,-2.34,24.12,10,0.17,3219,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.26,1.68,0.00,99.90
28051,0.00,-2.34,24.12,10,0.17,3191,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.21,1.66,0.00,99.90
28122,0.00,-2.34,24.12,10,0.17,3201,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.18,1.68,0.00,99.90
28188,0.00,-2.34,24.35,10,0.18,3170,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.26,1.68,0.00,99.90
28249,0.00,-2.34,24.00,10,0.18,3179,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.39,1.68,0.00,99.90
28314,0.00,-2.34,24.35,10,0.17,3156,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.26,1.66,0.00,99.90
28378,0.00,-2.34,23.89,10,0.18,3167,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.39,1.68,0.00,99.90
