Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
5478,0.78,0.00,14.47,8,163,0.29,985,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-9.07,4.88,1.40,0.00,0.64,0.00
5552,0.78,0.00,14.47,8,163,0.29,985,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.07,4.85,1.38,0.00,0.64,0.00
5624,0.78,0.00,14.70,8,163,0.29,991,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.11,4.82,1.38,0.00,0.64,0.00
5698,1.56,0.00,14.59,8,163,0.29,994,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.13,4.79,1.38,0.00,0.64,0.00
5771,1.56,0.00,14.70,8,163,0.29,1000,0.00,0.00,14.70,16,9.88,8.00,77,5.51,-9.13,4.82,1.38,0.00,0.64,0.00
Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V)
5844,1.56,0.00,14.70,8,163,0.29,994,0.00,0.00,14.70,16,9.88,9.00,77,5.51,-9.13,4.82,1.40,0.00,0.64
5917,0.78,0.00,14.70,8,163,0.29,1000,0.00,0.00,14.70,16,9.88,8.00,77,5.51,-9.13,4.82,1.38,0.00,0.64
5990,0.78,0.00,14.70,8,163,0.29,982,0.00,0.00,14.70,16,9.88,9.50,77,5.51,-9.17,4.79,1.38,0.00,0.64
6063,0.78,0.00,14.70,8,163,0.29,981,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.13,4.82,1.38,0.00,0.64
6136,1.56,0.00,14.70,8,163,0.30,968,0.00,0.00,14.70,16,9.88,11.50,77,5.51,-9.13,4.82,1.40,0.00,0.64
6209,1.56,0.00,14.70,8,163,0.30,972,0.00,0.00,14.70,16,9.88,11.00,77,5.66,-9.09,4.91,1.40,0.00,0.64
6282,1.56,0.00,14.81,8,163,0.30,964,0.00,0.00,14.70,16,9.88,12.00,77,5.66,-9.01,4.91,1.40,0.00,0.64
6355,1.56,0.00,14.81,8,163,0.30,978,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.05,4.91,1.40,0.00,0.64
6429,1.56,0.00,14.81,8,163,0.29,991,0.00,0.00,14.70,16,9.88,10.00,77,5.66,-9.07,4.88,1.38,0.00,0.64
6501,1.56,0.00,14.93,8,163,0.29,1004,0.00,0.00,14.70,16,9.88,7.50,77,5.66,-9.09,4.85,1.38,0.00,0.64
6575,1.56,0.00,14.81,8,163,0.29,1002,0.00,0.00,14.70,16,9.88,8.00,77,5.51,-9.13,4.85,1.38,0.00,0.64
6647,1.56,0.00,14.70,8,163,0.29,989,0.00,0.00,14.70,16,9.88,8.00,77,5.51,-9.11,4.82,1.40,0.00,0.64
