Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
24497,-0.78,-0.78,14.70,8,0.27,788,0.00,0.00,14.70,16,9.88,9.50,5.66,-9.09,3.58,1.28,0.00,0.66,14.70
24573,-0.78,-0.78,14.70,8,0.28,791,0.00,0.00,14.70,16,9.88,9.50,5.66,-9.07,3.60,1.28,0.00,0.66,14.80
24640,-0.78,-0.78,14.59,8,0.28,785,0.00,0.00,14.69,16,9.88,10.50,5.66,-9.07,3.60,1.26,0.00,0.66,14.70
24709,-0.78,-0.78,14.70,8,0.28,780,0.00,0.00,14.69,16,9.88,11.00,5.66,-9.07,3.65,1.28,0.00,0.66,14.70
24776,-0.78,-0.78,14.81,8,0.29,774,0.00,0.00,14.69,16,9.88,10.50,5.66,-8.99,3.65,1.30,0.00,0.66,14.70
24840,-0.78,-0.78,14.81,8,0.29,780,0.00,0.00,14.69,16,9.88,9.50,5.66,-8.97,3.76,1.28,0.00,0.66,14.70
24909,-0.78,-0.78,14.81,8,0.29,786,0.00,0.00,14.69,16,9.88,9.00,5.66,-8.91,3.80,1.30,0.00,0.66,14.70
24978,0.00,-0.78,14.93,8,0.29,790,0.00,0.00,14.69,16,9.88,8.50,5.80,-8.91,3.83,1.30,0.00,0.66,14.70
25051,0.00,-0.78,14.81,8,0.29,793,0.00,0.00,14.69,16,9.88,8.50,5.80,-8.89,3.80,1.28,0.00,0.66,14.80
25120,0.00,-0.78,14.81,8,0.29,795,0.00,0.00,14.69,16,9.88,8.50,5.80,-8.91,3.80,1.30,0.00,0.66,14.90
25189,0.00,-0.78,14.81,8,0.28,798,0.00,0.00,14.70,16,9.88,8.00,5.80,-8.91,3.80,1.30,0.00,0.66,14.90
25257,0.00,-0.78,14.81,8,0.28,807,0.00,0.00,14.70,16,9.88,7.50,5.80,-8.91,3.78,1.30,0.00,0.66,15.00
25319,-0.78,-0.78,14.70,8,0.28,796,0.00,0.00,14.70,16,9.88,9.00,5.80,-8.91,3.76,1.28,0.00,0.66,14.90
25393,-0.78,-0.78,14.70,8,0.28,794,0.00,0.00,14.70,16,9.88,9.00,5.80,-8.91,3.70,1.28,0.00,0.66,14.90
25463,0.00,-0.78,14.81,8,0.28,791,0.00,0.00,14.70,16,9.88,9.50,5.80,-8.91,3.67,1.30,0.00,0.66,14.90
25531,0.00,-0.78,14.81,8,0.28,793,0.00,0.00,14.70,16,9.88,9.50,5.80,-8.89,3.65,1.28,0.00,0.66,14.80
25595,0.00,-0.78,14.81,8,0.28,802,0.00,0.00,14.70,16,9.88,8.00,5.80,-8.91,3.70,1.28,0.00,0.66,14.80
25667,0.00,-0.78,14.81,8,0.27,792,0.00,0.00,14.70,16,9.88,9.50,5.80,-8.89,3.67,1.28,0.00,0.66,14.90
25736,0.00,-0.78,14.93,8,0.27,799,0.00,0.00,14.70,16,9.88,8.50,5.80,-8.91,3.65,1.30,0.00,0.66,15.00
25804,0.00,-0.78,14.81,8,0.27,794,0.00,0.00,14.70,16,9.88,8.00,5.80,-8.89,3.65,1.28,0.00,0.64,15.00
25873,0.00,-0.78,14.93,8,0.27,804,0.00,0.00,14.70,16,9.88,8.00,5.80,-8.89,3.65,1.26,0.00,0.66,14.90
25942,0.00,-0.78,14.93,8,0.27,807,0.00,0.00,14.70,16,9.88,9.00,5.80,-8.91,3.65,1.28,0.00,0.66,15.00
26010,0.00,-0.78,14.81,8,0.28,798,0.00,0.00,14.70,16,9.88,9.50,5.80,-8.91,3.65,1.30,0.00,0.66,15.00
26079,0.00,-0.78,14.93,8,0.28,797,0.00,0.00,14.70,16,9.88,10.50,5.80,-8.89,3.65,1.28,0.00,0.66,14.90
26147,0.00,-0.78,14.81,8,0.28,792,0.00,0.00,14.70,16,9.88,9.50,5.80,-8.88,3.65,1.28,0.00,0.64,14.90
26217,0.78,-0.78,14.93,8,0.28,792,0.00,0.00,13.16,16,9.88,9.50,5.80,-8.89,3.67,1.30,0.00,0.68,14.90
26284,0.78,-0.78,15.04,8,0.34,792,0.00,0.00,12.10,16,10.23,9.50,5.80,-8.70,3.75,1.34,0.00,0.70,14.90
26353,0.78,-0.78,15.04,8,0.44,798,0.00,0.00,11.77,16,10.59,9.50,5.95,-7.95,4.58,1.40,0.00,0.76,14.90
26421,1.56,-0.78,15.16,8,0.52,790,0.00,0.00,12.46,16,12.70,11.50,6.82,-7.14,5.99,1.60,0.00,0.80,15.00
26489,2.34,-0.78,15.27,8,0.56,812,0.00,0.00,13.49,16,16.91,16.00,7.11,-6.50,6.81,1.66,0.00,0.82,15.00
26555,1.56,-0.78,15.16,8,0.53,880,0.00,0.00,15.96,16,21.13,18.50,7.98,-6.17,8.27,1.66,0.00,0.82,15.10
26627,2.34,-0.78,14.93,8,0.44,1152,0.00,0.00,16.13,16,22.54,21.50,8.42,-6.03,8.95,1.66,0.00,0.82,15.10
26695,0.78,-0.78,14.13,8,0.43,1318,0.00,0.00,14.67,16,25.00,24.00,8.71,-6.25,9.09,1.66,0.00,0.82,15.10
26760,-5.47,-0.78,12.98,8,0.42,1399,0.00,0.00,14.68,16,26.05,25.00,8.56,-6.48,9.35,1.68,0.00,0.82,14.50
26832,-9.38,-0.78,12.52,8,0.41,1444,0.00,0.00,14.68,16,26.76,26.00,8.13,-6.69,9.75,1.70,0.00,0.84,13.60
26901,-6.25,-0.78,13.32,8,0.45,1456,0.00,0.00,13.26,16,27.46,26.00,7.98,-6.65,10.38,1.76,0.00,0.86,13.60
26967,-2.34,-0.78,14.47,8,0.48,1464,0.00,0.00,14.66,16,28.16,27.00,8.13,-6.46,11.09,1.80,0.00,0.88,13.80
27037,3.12,-0.78,15.27,8,0.48,1474,0.00,0.00,14.66,16,28.52,27.50,8.27,-6.19,11.82,1.80,0.00,0.88,14.90
27105,7.03,-0.78,16.65,8,0.48,1526,0.00,0.00,14.69,16,29.22,28.00,8.56,-6.07,12.20,1.82,0.00,0.88,14.90
27170,7.03,-0.78,16.42,8,0.48,1559,0.00,0.00,14.69,16,29.22,28.50,8.71,-5.96,12.48,1.84,0.00,0.90,16.60
27240,4.69,-0.78,16.08,8,0.49,1568,0.00,0.00,14.69,16,29.22,28.50,8.71,-5.92,12.70,1.84,0.00,0.90,16.30
27312,2.34,-0.78,15.50,8,0.50,1547,0.00,0.00,14.69,16,29.22,28.50,8.85,-5.82,12.70,1.84,0.00,0.90,16.30
27375,3.12,-0.78,15.39,8,0.52,1536,0.00,0.00,14.69,16,29.22,28.50,8.85,-5.69,12.85,1.86,0.00,0.90,15.50
27449,3.91,-0.78,15.27,8,0.53,1498,0.00,0.00,14.69,16,29.57,28.50,9.14,-5.45,13.02,1.86,0.00,0.90,15.30
27517,4.69,0.00,15.16,8,0.56,1464,0.00,0.00,14.15,16,29.92,29.00,9.29,-5.26,13.13,1.86,0.00,0.92,15.30
27580,6.25,0.00,15.16,8,0.58,1450,0.00,0.00,14.69,16,30.27,29.50,9.43,-5.03,13.58,1.88,0.00,0.92,15.30
27653,5.47,0.00,15.27,8,0.59,1429,0.00,0.00,13.95,16,30.62,29.50,9.72,-4.68,13.71,1.90,0.00,0.94,15.30
27722,4.69,0.78,14.93,8,0.61,1436,0.00,0.00,14.68,16,30.98,30.00,10.01,-4.43,14.22,1.92,0.00,0.96,15.00
27791,3.91,0.78,14.70,8,0.61,1431,0.00,0.00,14.69,16,30.98,30.00,10.16,-4.23,14.60,1.92,0.00,0.96,15.00
27861,3.12,0.78,14.59,8,0.61,1450,0.00,0.00,14.71,16,31.33,30.50,10.45,-4.10,14.86,1.92,0.00,0.96,14.60
27927,3.12,0.78,14.36,8,0.61,1470,0.00,0.00,14.71,16,31.33,30.50,10.59,-4.04,14.86,1.94,0.00,0.96,14.60
27995,3.91,1.56,14.59,8,0.62,1468,0.00,0.00,14.71,16,31.33,30.50,10.59,-3.98,14.86,1.94,0.00,0.98,14.60
28062,4.69,1.56,14.70,8,0.61,1483,0.00,0.00,14.71,16,31.33,30.50,10.74,-3.93,14.99,1.94,0.00,0.98,14.60
28133,4.69,1.56,14.81,8,0.61,1479,0.00,0.00,14.72,16,31.68,30.50,10.74,-3.87,15.11,1.94,0.00,0.98,14.90
28197,4.69,1.56,14.81,8,0.62,1480,0.00,0.00,14.72,16,31.33,30.50,10.88,-3.83,15.19,1.94,0.00,0.98,14.90
28270,5.47,1.56,14.93,8,0.62,1467,0.00,0.00,14.72,16,31.68,30.50,10.88,-3.75,12.85,1.96,0.00,0.98,15.10
28338,5.47,1.56,15.04,8,0.62,1461,0.00,0.00,14.72,16,31.33,30.50,10.88,-3.69,15.26,1.94,0.00,0.98,15.10
28407,5.47,1.56,15.04,8,0.65,1432,0.00,0.00,14.72,16,31.33,30.50,11.03,-3.62,15.19,1.94,0.00,0.98,15.10
28474,5.47,1.56,14.93,8,0.66,1394,0.00,0.00,14.27,16,30.98,30.50,11.17,-3.54,15.11,1.94,0.00,0.98,15.00
28539,5.47,2.34,14.93,8,0.67,1361,0.00,0.00,14.71,16,29.92,29.50,11.32,-3.35,15.06,1.94,0.00,0.98,14.80
28610,5.47,2.34,14.93,8,0.67,1329,0.00,0.00,15.02,16,29.92,29.00,11.32,-3.21,14.79,1.94,0.00,0.98,14.80
28678,5.47,2.34,14.81,8,0.66,1347,0.00,0.00,15.70,16,31.33,29.50,11.46,-3.27,14.86,1.94,0.00,0.98,14.70
28750,5.47,2.34,14.81,8,0.61,1480,0.00,0.00,14.76,16,32.03,30.50,11.32,-3.46,15.06,1.94,0.00,0.98,14.70
28817,5.47,3.91,14.59,8,0.61,1554,0.00,0.00,14.76,16,32.03,31.00,11.17,-3.65,15.33,1.96,0.00,0.98,14.70
28886,5.47,3.91,14.47,8,0.60,1561,0.00,0.00,14.76,16,32.03,31.50,11.03,-3.77,15.63,1.96,0.00,0.98,14.60
28955,5.47,3.91,14.70,8,0.60,1596,0.00,0.00,14.77,16,32.73,32.50,10.88,-3.93,15.92,1.96,0.00,0.98,14.70
29023,6.25,3.91,14.81,8,0.58,1664,0.00,0.00,14.77,16,34.14,34.00,10.74,-4.23,16.00,1.98,0.00,0.98,15.00
29089,6.25,3.91,14.93,8,0.56,1753,0.00,0.00,15.14,16,34.84,34.00,10.45,-4.66,16.14,1.98,0.00,0.96,15.00
29159,5.47,3.91,14.81,8,0.52,1796,0.00,0.00,15.40,16,34.49,34.00,10.01,-5.76,15.41,1.92,0.00,0.88,14.90
29229,4.69,3.91,14.47,8,0.47,1808,0.00,0.00,15.46,16,34.49,34.00,9.00,-6.69,12.97,1.86,0.00,0.86,14.50
29297,3.91,3.91,14.13,8,0.42,1833,0.00,0.00,15.50,16,35.55,34.50,8.56,-7.14,11.77,1.78,0.00,0.82,14.50
29358,2.34,3.91,13.78,8,0.37,1882,0.00,0.00,15.45,16,35.55,34.50,7.69,-7.75,10.49,1.72,0.00,0.82,14.40
29433,1.56,3.91,13.78,8,0.32,1929,0.00,0.00,15.63,16,34.84,34.00,7.11,-8.64,9.75,1.58,0.00,0.76,14.10
29502,0.78,3.12,13.55,8,0.27,1946,0.00,0.00,15.79,16,33.09,32.00,6.38,-9.42,8.27,1.44,0.00,0.70,14.10
29571,0.00,3.12,13.55,10,0.21,1926,0.00,0.00,15.56,16,29.22,29.00,5.22,-10.07,5.94,1.36,0.00,0.66,14.00
29638,0.00,3.12,13.44,10,0.18,1924,0.00,0.00,15.19,16,24.65,24.50,4.79,-10.58,4.28,1.34,0.00,0.66,13.90
29708,0.00,3.12,13.21,10,0.16,1883,0.00,0.00,14.70,16,19.73,20.50,4.35,-10.83,4.35,1.36,0.00,0.66,13.90
29775,0.00,3.12,13.09,10,0.16,1863,0.00,0.00,14.70,16,14.80,16.00,4.06,-11.02,4.95,1.42,0.00,0.66,13.80
29845,0.00,0.78,12.98,10,0.18,1886,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.08,5.52,1.44,0.00,0.66,13.60
29910,0.00,0.78,13.44,10,0.18,1927,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.06,5.74,1.46,0.00,0.66,13.60
29982,0.00,0.78,14.24,10,0.18,1905,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.02,5.72,1.44,0.00,0.66,13.60
30042,0.00,0.78,14.70,10,0.19,1847,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.08,5.78,1.46,0.00,0.66,13.50
30119,0.00,0.78,15.39,10,0.20,1797,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.10,5.80,1.46,0.00,0.66,13.50
30187,0.00,0.78,16.65,10,0.20,1777,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.10,5.78,1.46,0.00,0.66,13.60
30256,0.00,0.78,18.83,10,0.20,1778,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.14,5.81,1.46,0.00,0.66,14.80
30324,0.00,0.78,20.56,10,0.19,1761,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.16,5.81,1.46,0.00,0.66,16.80
30389,0.00,0.78,22.51,10,0.20,1727,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.12,5.65,1.44,0.00,0.66,16.80
30461,0.00,0.78,23.31,10,0.20,1680,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.10,5.65,1.44,0.00,0.66,19.20
30529,0.00,0.78,23.31,10,0.20,1652,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.08,5.65,1.44,0.00,0.66,21.80
30593,0.00,0.78,23.54,10,0.20,1652,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.06,5.62,1.44,0.00,0.66,21.80
30666,0.00,0.78,23.89,10,0.21,1638,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.00,5.55,1.44,0.00,0.66,25.50
30735,0.00,0.78,23.89,10,0.21,1604,0.00,0.00,14.70,16,11.99,11.50,3.63,-10.98,5.52,1.44,0.00,0.66,30.80
30803,0.00,0.78,23.66,10,0.22,1564,0.00,0.00,14.70,16,11.99,11.50,3.77,-10.91,5.52,1.44,0.00,0.66,30.80
30871,0.00,0.78,23.54,10,0.23,1549,0.00,0.00,14.70,16,11.99,11.50,3.77,-10.81,5.65,1.46,0.00,0.66,36.30
30940,0.00,0.78,24.00,10,0.24,1524,0.00,0.00,14.70,16,11.99,11.50,3.92,-10.65,5.81,1.48,0.00,0.68,51.80
31009,0.00,0.78,24.00,10,0.25,1501,0.00,0.00,14.70,16,11.64,11.50,3.92,-10.54,6.04,1.48,0.00,0.68,51.80
31075,0.00,0.78,23.77,10,0.24,1488,0.00,0.00,14.70,16,11.64,11.50,4.06,-10.44,6.15,1.46,0.00,0.68,64.10
31145,0.00,0.78,23.66,10,0.25,1454,0.00,0.00,14.70,16,12.34,11.00,4.21,-10.23,5.87,1.48,0.00,0.72,74.40
31210,0.00,0.78,23.54,10,0.26,1417,0.00,0.00,14.69,16,13.40,12.00,4.35,-9.98,6.04,1.50,0.00,0.74,74.40
31277,0.00,0.78,23.77,10,0.26,1454,0.00,0.00,14.69,16,14.80,14.00,4.50,-9.84,6.33,1.50,0.00,0.74,86.60
31350,0.00,0.78,24.00,10,0.27,1468,0.00,0.00,14.69,16,16.56,15.50,4.79,-9.71,6.48,1.50,0.00,0.76,96.00
31420,0.00,0.78,23.77,10,0.27,1444,0.00,0.00,14.69,16,17.97,16.50,5.08,-9.61,6.59,1.52,0.00,0.76,96.00
31484,0.00,-0.78,23.77,10,0.29,1423,0.00,0.00,14.69,16,19.02,17.50,5.08,-9.49,6.55,1.52,0.00,0.76,96.00
31555,0.00,-0.78,23.43,10,0.29,1372,0.00,0.00,14.69,16,20.08,18.50,5.22,-9.38,6.66,1.52,0.00,0.76,92.60
31626,0.00,-0.78,23.66,10,0.29,1378,0.00,0.00,14.69,16,21.84,20.00,5.37,-9.32,6.70,1.52,0.00,0.76,62.40
31689,0.00,-0.78,21.71,10,0.29,1402,0.00,0.00,14.69,16,24.30,22.00,5.37,-9.24,6.73,1.52,0.00,0.76,62.40
31758,0.00,-0.78,18.49,10,0.28,1439,0.00,0.00,14.69,16,25.35,24.00,5.51,-9.18,6.73,1.52,0.00,0.76,27.20
31825,0.00,-0.78,17.00,10,0.29,1443,0.00,0.00,14.69,16,25.35,24.50,5.51,-9.15,6.84,1.54,0.00,0.76,20.30
31897,0.00,-0.78,15.85,10,0.30,1420,0.00,0.00,14.69,16,25.00,24.00,5.51,-9.07,7.03,1.54,0.00,0.76,20.30
31964,0.00,-0.78,15.62,10,0.30,1406,0.00,0.00,14.69,16,25.00,24.00,5.66,-8.97,7.10,1.54,0.00,0.76,17.10
32035,0.00,-0.78,15.50,10,0.30,1416,0.00,0.00,14.69,16,25.35,25.00,5.66,-8.95,7.17,1.56,0.00,0.76,16.30
32103,0.00,-0.78,15.50,10,0.30,1456,0.00,0.00,14.69,16,25.70,25.00,5.80,-8.93,7.24,1.56,0.00,0.78,16.30
32169,0.00,-0.78,15.62,10,0.30,1452,0.00,0.00,14.69,16,25.70,25.00,5.80,-8.89,7.24,1.56,0.00,0.76,16.00
32239,0.00,-0.78,15.62,10,0.30,1457,0.00,0.00,14.69,16,25.35,24.50,5.80,-8.86,7.33,1.56,0.00,0.78,15.90
32305,0.00,-0.78,15.50,10,0.30,1438,0.00,0.00,14.69,16,25.70,25.00,5.80,-8.82,7.29,1.56,0.00,0.78,15.90
32378,0.00,-0.78,15.50,10,0.30,1456,0.00,0.00,14.69,16,26.05,25.00,5.95,-8.86,7.33,1.56,0.00,0.78,15.90
32445,0.00,-0.78,15.62,10,0.30,1486,0.00,0.00,14.69,16,26.05,25.00,5.80,-8.86,7.29,1.56,0.00,0.78,15.80
32508,0.00,-0.78,15.73,10,0.30,1479,0.00,0.00,14.69,16,26.05,25.00,5.80,-8.86,7.33,1.56,0.00,0.78,15.80
32582,0.00,-0.78,15.62,10,0.30,1488,0.00,0.00,14.69,16,26.05,25.00,5.80,-8.86,7.41,1.58,0.00,0.78,15.80
32651,0.00,-0.78,15.73,10,0.30,1486,0.00,0.00,14.69,16,26.05,25.00,5.80,-8.86,7.46,1.56,0.00,0.78,15.80
32716,0.00,-0.78,15.62,10,0.29,1504,0.00,0.00,14.69,16,26.41,25.50,5.80,-8.88,7.33,1.56,0.00,0.78,15.90
32788,0.00,-0.78,15.73,10,0.29,1502,0.00,0.00,14.69,16,26.41,25.50,5.80,-8.86,7.33,1.56,0.00,0.78,15.90
32857,0.00,-0.78,15.62,10,0.30,1504,0.00,0.00,14.69,16,26.41,25.50,5.80,-8.88,7.50,1.58,0.00,0.78,15.80
32924,0.00,-0.78,15.73,10,0.31,1524,0.00,0.00,14.69,16,26.76,26.00,5.80,-8.84,7.70,1.60,0.00,0.78,15.80
32987,0.00,-0.78,15.62,10,0.30,1520,0.00,0.00,14.69,16,27.11,26.00,5.80,-8.84,7.78,1.60,0.00,0.78,15.80
35033,0.00,-0.78,15.62,10,0.30,1520,0.00,0.00,14.69,16,27.11,26.00,5.80,-8.84,7.78,1.60,0.00,0.78,15.10
38393,4.69,-0.78,14.59,8,0.32,1923,0.00,0.00,14.84,16,34.14,33.00,5.95,-8.78,10.13,1.72,0.00,0.84,14.60
38457,4.69,-0.78,14.59,8,0.32,1938,0.00,0.00,14.84,16,34.14,33.50,5.95,-8.70,10.08,1.72,0.00,0.84,14.60
38527,4.69,-0.78,14.59,8,0.31,1944,0.00,0.00,14.84,16,34.14,33.50,5.95,-8.68,10.23,1.72,0.00,0.84,14.60
38588,4.69,-0.78,14.59,8,0.32,1943,0.00,0.00,14.84,16,34.84,33.50,5.95,-8.64,10.13,1.72,0.00,0.84,14.60
38663,4.69,-0.78,14.70,8,0.32,1953,0.00,0.00,14.84,16,34.84,34.00,6.09,-8.64,10.43,1.74,0.00,0.84,14.60
38731,4.69,-0.78,14.70,8,0.31,1967,0.00,0.00,14.84,16,34.84,34.00,6.09,-8.64,10.38,1.72,0.00,0.84,14.70
38799,5.47,-0.78,14.70,8,0.31,1978,0.00,0.00,14.84,16,35.20,34.00,6.09,-8.66,10.38,1.74,0.00,0.84,14.70
38868,5.47,-0.78,14.70,8,0.31,2002,0.00,0.00,14.84,16,35.20,34.00,6.09,-8.68,10.28,1.72,0.00,0.84,14.80
38937,5.47,-0.78,14.70,8,0.30,2003,0.00,0.00,14.84,16,34.84,34.00,6.09,-8.74,10.17,1.72,0.00,0.82,14.80
39005,5.47,-0.78,14.70,8,0.29,1999,0.00,0.00,14.84,16,34.84,34.00,5.95,-8.82,9.88,1.70,0.00,0.82,14.80
39075,5.47,-0.78,14.70,8,0.29,2021,0.00,0.00,14.87,16,34.84,34.00,5.95,-8.88,9.79,1.70,0.00,0.82,14.80
39138,5.47,-0.78,14.81,8,0.28,2041,0.00,0.00,14.87,16,34.84,34.00,5.80,-8.99,9.43,1.68,0.00,0.82,14.80
39209,6.25,-0.78,14.81,8,0.27,2043,0.00,0.00,14.87,16,34.49,33.50,5.66,-9.07,9.18,1.68,0.00,0.82,14.80
39276,7.03,-0.78,14.93,8,0.27,2030,0.00,0.00,14.87,16,34.49,33.50,5.66,-9.15,9.18,1.66,0.00,0.82,15.00
39349,7.03,-0.78,14.93,8,0.27,2042,0.00,0.00,14.87,16,34.49,33.50,5.51,-9.20,9.30,1.68,0.00,0.82,15.00
39417,7.03,-0.78,15.04,8,0.27,2062,0.00,0.00,14.87,16,34.49,33.50,5.51,-9.24,9.26,1.68,0.00,0.82,15.00
39480,7.81,-0.78,15.04,8,0.27,2070,0.00,0.00,14.84,16,34.49,33.50,5.51,-9.24,9.13,1.66,0.00,0.82,15.00
39554,7.81,-0.78,14.93,8,0.27,2055,0.00,0.00,14.82,16,34.49,33.50,5.37,-9.26,9.09,1.66,0.00,0.82,15.00
39622,7.81,-0.78,14.93,8,0.27,2056,0.00,0.00,14.82,16,34.49,33.50,5.37,-9.28,9.26,1.68,0.00,0.82,15.00
39692,7.81,-0.78,14.81,8,0.27,2077,0.00,0.00,14.79,16,34.84,34.00,5.37,-9.28,9.35,1.68,0.00,0.82,15.00
39760,7.81,-0.78,14.81,8,0.27,2095,0.00,0.00,14.76,16,34.84,34.00,5.37,-9.28,9.26,1.68,0.00,0.82,14.80
39825,7.03,-0.78,14.70,8,0.27,2090,0.00,0.00,14.76,16,35.20,34.00,5.37,-9.26,9.61,1.68,0.00,0.82,14.70
39896,7.03,-0.78,14.59,8,0.28,2083,0.00,0.00,14.73,16,35.20,34.00,5.37,-9.24,9.56,1.70,0.00,0.82,14.70
39961,6.25,-0.78,14.47,8,0.28,2091,0.00,0.00,14.70,16,35.20,34.00,5.51,-9.18,9.61,1.70,0.00,0.82,14.60
40034,6.25,-0.78,14.36,8,0.28,2092,0.00,0.00,14.70,16,35.20,34.00,5.51,-9.15,9.70,1.70,0.00,0.82,14.50
40101,5.47,-0.78,14.36,8,0.28,2102,0.00,0.00,14.70,16,35.55,34.50,5.51,-9.11,9.79,1.70,0.00,0.82,14.50
40172,4.69,-0.78,14.24,8,0.29,2130,0.00,0.00,14.70,16,35.90,35.00,5.66,-9.05,10.03,1.72,0.00,0.82,14.50
40232,4.69,-0.78,14.36,8,0.29,2134,0.00,0.00,14.69,16,35.90,35.00,5.66,-8.97,10.49,1.74,0.00,0.84,14.40
40304,4.69,-0.78,14.36,8,0.31,2125,0.00,0.00,14.69,16,36.25,35.50,5.66,-8.89,10.43,1.74,0.00,0.84,14.40
40376,5.47,-0.78,14.36,8,0.30,2137,0.00,0.00,14.70,16,36.25,35.50,5.80,-8.82,10.89,1.76,0.00,0.84,14.50
40444,4.69,-0.78,14.47,8,0.31,2144,0.00,0.00,14.69,16,36.95,36.00,5.80,-8.72,10.74,1.78,0.00,0.86,14.50
40508,3.91,-0.78,14.36,8,0.32,2148,0.00,0.00,14.69,16,37.30,36.50,5.95,-8.57,11.29,1.80,0.00,0.86,14.50
40580,3.91,-0.78,14.36,8,0.34,2172,0.00,0.00,14.69,16,38.01,36.50,6.09,-8.37,11.61,1.84,0.00,0.88,14.50
40650,3.91,-0.78,14.47,8,0.36,2182,0.00,0.00,14.69,16,38.36,37.00,6.24,-8.16,12.64,1.86,0.00,0.88,14.50
40718,3.91,-0.78,14.47,8,0.37,2211,0.00,0.00,14.69,16,39.06,38.00,6.38,-7.97,10.70,1.88,0.00,0.88,14.50
40786,4.69,-0.78,14.70,8,0.38,2218,0.00,0.00,14.69,16,39.77,39.00,6.82,-7.75,14.09,1.90,0.00,0.90,14.60
40854,4.69,-0.78,14.70,8,0.39,2250,0.00,0.00,14.68,16,40.12,39.00,6.96,-7.62,14.40,1.92,0.00,0.90,14.70
40922,4.69,-0.78,14.70,8,0.40,2254,0.00,0.00,14.68,16,40.82,40.00,7.11,-7.46,14.92,1.94,0.00,0.90,14.80
40991,4.69,-0.78,14.70,8,0.40,2291,0.00,0.00,14.68,16,41.17,40.00,7.25,-7.39,15.25,1.96,0.00,0.90,14.80
41060,4.69,-0.78,14.70,8,0.41,2299,0.00,0.00,14.68,16,41.52,40.50,7.40,-7.31,15.69,1.96,0.00,0.90,14.90
41129,4.69,-0.78,14.81,8,0.41,2333,0.00,0.00,14.69,16,42.23,41.00,7.40,-7.29,15.92,1.98,0.00,0.90,14.90
41196,4.69,-0.78,14.70,8,0.42,2342,0.00,0.00,14.69,16,42.58,41.50,7.40,-7.25,16.23,1.98,0.00,0.90,14.90
41264,4.69,-0.78,14.70,8,0.42,2383,0.00,0.00,14.68,16,42.93,42.00,7.40,-7.23,16.51,1.98,0.00,0.90,14.80
41334,5.47,-0.78,14.70,8,0.42,2392,0.00,0.00,14.68,16,43.28,42.50,7.40,-7.21,16.88,2.00,0.00,0.90,15.00
41402,5.47,-0.78,14.81,8,0.43,2414,0.00,0.00,14.69,16,43.28,42.50,7.55,-7.19,17.26,2.02,0.00,0.90,15.00
41470,5.47,-0.78,14.81,8,0.42,2452,0.00,0.00,15.13,16,43.28,42.50,7.55,-7.29,17.19,2.02,0.00,0.90,14.90
41532,4.69,-0.78,14.70,8,0.41,2470,0.00,0.00,14.69,16,43.28,42.00,7.40,-7.44,17.03,2.00,0.00,0.88,14.80
41604,3.91,-0.78,14.59,8,0.39,2495,0.00,0.00,14.69,16,42.93,41.50,7.25,-7.66,16.88,2.00,0.00,0.88,14.80
41677,3.91,-0.78,14.24,8,0.37,2524,0.00,0.00,14.70,16,41.88,41.00,7.11,-7.91,16.29,1.98,0.00,0.86,14.50
41745,3.91,-0.78,14.47,8,0.34,2540,0.00,0.00,14.70,16,40.82,40.00,6.82,-8.18,15.40,1.94,0.00,0.84,14.60
41808,4.69,-0.78,14.70,8,0.33,2540,0.00,0.00,14.71,16,40.47,39.50,6.53,-8.45,14.60,1.92,0.00,0.84,14.60
41882,4.69,-0.78,14.81,8,0.33,2566,0.00,0.00,14.71,16,40.47,39.50,6.24,-8.68,14.15,1.90,0.00,0.82,14.70
41951,4.69,-0.78,14.93,8,0.31,2589,0.00,0.00,14.71,16,39.77,39.00,6.09,-9.07,13.52,1.84,0.00,0.80,14.90
42019,5.47,-0.78,14.93,8,0.28,2610,0.00,0.00,14.71,16,38.71,38.00,5.80,-9.48,12.59,1.76,0.00,0.76,15.00
42079,5.47,-0.78,14.81,8,0.26,2598,0.00,0.00,14.71,16,37.66,37.00,5.37,-9.78,11.15,1.74,0.00,0.74,15.00
