Time (msec),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
123223,0.25,823,0.00,0.00,14.69,16,9.88,14.00,5.08,-9.65,0.00,-1.39,0.64,0.00,0.00,14.70
123289,0.26,830,0.00,0.00,14.69,16,9.88,13.00,5.08,-9.63,0.00,-1.39,0.64,0.00,0.00,14.60
123356,0.26,830,0.00,0.00,14.69,16,9.88,12.50,5.08,-9.63,0.00,-1.39,0.64,0.00,0.00,14.60
123422,0.26,832,0.00,0.00,14.69,16,9.88,12.00,5.08,-9.63,0.00,-1.39,0.64,0.00,0.00,14.60
123488,0.26,834,0.00,0.00,14.69,16,9.88,11.50,5.08,-9.61,0.00,-1.39,0.64,0.00,0.00,14.50
123554,0.26,834,0.00,0.00,14.70,16,9.88,11.50,5.08,-9.61,0.00,-1.39,0.64,0.00,0.00,14.50
123621,0.26,829,0.00,0.00,14.70,16,9.88,12.00,5.08,-9.61,0.00,-1.39,0.64,0.00,0.00,14.60
123686,0.26,834,0.00,0.00,14.70,16,9.88,11.50,5.08,-9.59,0.00,-1.39,0.64,0.00,0.00,14.50
123753,0.26,821,0.00,0.00,14.70,16,9.88,13.00,5.08,-9.63,0.00,-1.39,0.64,0.00,0.00,14.50
123819,0.26,821,0.00,0.00,14.69,16,9.88,12.50,5.08,-9.57,0.00,-1.39,0.64,0.00,0.00,14.60
123885,0.26,815,0.00,0.00,14.69,16,9.88,11.50,5.08,-9.57,0.00,-1.39,0.64,0.00,0.00,14.60
123951,0.27,823,0.00,0.00,14.69,16,9.88,11.50,5.08,-9.53,0.00,-1.39,0.64,0.00,0.00,14.60
124017,0.27,822,0.00,0.00,14.69,16,9.88,11.50,5.22,-9.53,0.00,-1.39,0.64,0.00,0.00,14.60
124083,0.27,815,0.00,0.00,14.69,16,9.88,12.50,5.22,-9.51,0.00,-1.39,0.64,0.00,0.00,14.60
124150,0.27,820,0.00,0.00,14.69,16,9.88,11.50,5.22,-9.48,0.00,-1.39,0.64,0.00,0.00,14.60
124216,0.27,816,0.00,0.00,14.69,16,9.88,12.00,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,14.60
124282,0.27,826,0.00,0.00,14.69,16,9.88,10.50,5.37,-9.42,0.00,-1.39,0.64,0.00,0.00,14.60
124348,0.27,820,0.00,0.00,14.69,16,9.88,11.50,5.22,-9.42,0.00,-1.39,0.64,0.00,0.00,14.60
124415,0.27,831,0.00,0.00,14.69,16,9.88,10.00,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,14.70
124481,0.27,830,0.00,0.00,14.69,16,9.88,10.00,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,14.70
124547,0.27,830,0.00,0.00,14.69,16,9.88,9.50,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,14.70
124613,0.27,828,0.00,0.00,14.69,16,9.88,10.50,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,14.70
124679,0.27,830,0.00,0.00,14.69,16,9.88,10.00,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,14.80
124745,0.27,831,0.00,0.00,14.69,16,9.88,9.50,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,14.80
124811,0.27,836,0.00,0.00,14.69,16,9.88,9.50,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,14.80
124877,0.27,840,0.00,0.00,14.69,16,9.88,9.00,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,14.80
124943,0.28,831,0.00,0.00,14.69,16,9.88,9.50,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,14.80
125010,0.27,832,0.00,0.00,14.69,16,9.88,9.50,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,14.90
125076,0.28,827,0.00,0.00,14.69,16,9.88,10.50,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,15.00
125141,0.27,832,0.00,0.00,14.69,16,9.88,9.50,5.37,-9.36,0.00,-1.39,0.64,0.00,0.00,15.00
125207,0.28,829,0.00,0.00,14.69,16,9.88,10.00,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,15.00
125274,0.28,834,0.00,0.00,14.69,16,9.88,9.50,5.37,-9.34,0.00,-1.39,0.64,0.00,0.00,15.10
125340,0.28,834,0.00,0.00,14.69,16,9.88,9.50,5.37,-9.36,0.00,-1.39,0.64,0.00,0.00,15.10
125406,0.27,826,0.00,0.00,14.69,16,9.88,10.50,5.37,-9.32,0.00,-1.39,0.64,0.00,0.00,15.10
125473,0.28,842,0.00,0.00,14.69,16,9.88,8.50,5.37,-9.34,0.00,-1.39,0.64,0.00,0.00,15.10
125539,0.27,853,0.00,0.00,14.70,16,9.88,7.50,5.37,-9.34,0.00,-1.39,0.64,0.00,0.00,15.10
125605,0.27,858,0.00,0.00,14.70,16,9.88,7.00,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,15.30
125672,0.27,851,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,0.00,-1.39,0.64,0.00,0.00,15.00
125737,0.27,852,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.40,0.00,-1.39,0.64,0.00,0.00,15.00
125804,0.27,842,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.42,0.00,-1.39,0.64,0.00,0.00,15.30
125869,0.27,852,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,15.10
125936,0.27,845,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,15.10
126002,0.27,851,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,15.10
126068,0.27,842,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.42,0.00,-1.39,0.64,0.00,0.00,15.10
126135,0.27,849,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,15.10
126200,0.27,855,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,15.20
126267,0.27,858,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,15.20
126333,0.27,858,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.46,0.00,-1.39,0.64,0.00,0.00,15.20
126399,0.26,854,0.00,0.00,14.70,16,9.88,8.50,5.22,-9.44,0.00,-1.39,0.64,0.00,0.00,15.20
126465,0.27,862,0.00,0.00,14.70,16,9.88,7.50,5.22,-9.48,0.00,-1.39,0.64,0.00,0.00,15.20
126531,0.27,862,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.46,0.00,-1.39,0.64,0.00,0.00,15.20
126597,0.27,857,0.00,0.00,14.70,16,9.88,8.50,5.22,-9.49,0.00,-1.39,0.64,0.00,0.00,15.30
126663,0.27,847,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.48,0.00,-1.39,0.64,0.00,0.00,15.20
126729,0.26,860,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.48,0.00,-1.39,0.64,0.00,0.00,15.20
126795,0.27,858,0.00,0.00,14.70,16,9.88,8.50,5.22,-9.48,0.00,-1.39,0.64,0.00,0.00,15.30
126862,0.28,860,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.48,0.00,-1.39,0.64,0.00,0.00,15.20
126929,0.28,851,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.46,0.00,-1.39,0.64,0.00,0.00,15.20
126994,0.28,858,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.42,0.00,-1.39,0.64,0.00,0.00,15.20
127060,0.27,862,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.42,0.00,-1.39,0.64,0.00,0.00,15.20
127126,0.27,877,0.00,0.00,14.70,16,9.88,7.00,5.22,-9.42,0.00,-1.39,0.64,0.00,0.00,15.20
127192,0.27,875,0.00,0.00,14.70,16,9.88,7.00,5.37,-9.42,0.00,-1.39,0.64,0.00,0.00,15.30
127260,0.30,887,0.00,0.00,14.70,16,9.88,6.00,5.22,-9.42,0.00,-1.39,0.68,0.00,0.00,15.10
127325,0.33,889,0.00,0.00,12.36,16,9.88,6.50,5.37,-9.28,0.00,-1.39,0.68,0.00,0.00,15.10
127391,0.35,888,0.00,0.00,13.45,16,9.88,6.50,5.66,-9.05,0.00,-1.39,0.68,0.00,0.00,15.10
127458,0.34,891,0.00,0.00,14.69,16,10.23,9.50,5.80,-8.88,0.00,-1.39,0.68,0.00,0.00,15.20
127523,0.33,919,0.00,0.00,14.69,16,11.29,10.50,5.95,-8.72,0.00,-1.39,0.70,0.00,0.00,15.20
127590,0.32,963,0.00,0.00,14.69,16,12.70,12.50,6.09,-8.64,0.00,-1.39,0.70,0.00,0.00,15.10
127656,0.31,1038,0.00,0.00,14.69,16,14.45,13.50,5.95,-8.68,0.00,-1.39,0.70,0.00,0.00,15.00
127722,0.30,1069,0.00,0.00,14.69,16,15.51,14.50,5.95,-8.72,0.00,-1.39,0.70,0.00,0.00,15.00
127788,0.30,1138,0.00,0.00,14.69,16,17.62,16.50,5.95,-8.82,0.00,-1.39,0.70,0.00,0.00,14.70
127855,0.28,1171,0.00,0.00,15.33,16,19.02,18.50,5.80,-8.86,0.00,-1.39,0.70,0.00,0.00,14.70
127920,0.28,1196,0.00,0.00,14.70,16,19.73,19.50,5.66,-8.97,0.00,-1.70,0.72,0.00,0.00,14.60
127986,0.29,1227,0.00,0.00,14.70,16,21.48,20.50,5.66,-9.05,0.00,-1.70,0.72,0.00,0.00,14.70
128053,0.29,1212,0.00,0.00,14.70,16,22.89,22.50,5.66,-9.07,0.00,-1.70,0.72,0.00,0.00,14.70
128119,0.29,1221,0.00,0.00,14.70,16,23.59,23.00,5.66,-9.11,0.00,-1.70,0.72,0.00,0.00,14.70
128185,0.31,1220,0.00,0.00,14.69,16,25.00,24.50,5.66,-9.09,0.00,-1.70,0.72,0.00,0.00,14.90
128252,0.32,1205,0.00,0.00,14.69,16,25.70,25.00,5.66,-9.03,0.00,-1.70,0.72,0.00,0.00,14.90
128318,0.34,1122,0.00,0.00,14.69,16,25.35,25.00,5.80,-8.89,0.00,-1.39,0.72,0.00,0.00,14.90
128383,0.35,1087,0.00,0.00,14.69,16,25.00,25.00,5.95,-8.80,0.00,-1.39,0.72,0.00,0.00,15.50
128450,0.37,1052,0.00,0.00,14.69,16,24.30,24.50,6.09,-8.66,0.00,-1.39,0.72,0.00,0.00,15.50
128516,0.39,1026,0.00,0.00,14.68,16,23.95,24.00,6.24,-8.47,0.00,-1.39,0.72,0.00,0.00,15.90
128582,0.40,998,0.00,0.00,14.68,16,23.95,23.50,6.38,-8.30,0.00,-1.39,0.72,0.00,0.00,16.10
128648,0.41,977,0.00,0.00,14.68,16,23.59,23.50,6.53,-8.16,0.00,-1.39,0.72,0.00,0.00,16.10
128715,0.40,968,0.00,0.00,14.68,16,23.95,23.50,6.82,-7.93,0.00,-1.39,0.72,0.00,0.00,16.10
128781,0.36,1054,0.00,0.00,15.90,16,25.00,24.50,6.96,-7.79,0.00,-1.39,0.70,0.00,0.00,16.00
128847,0.33,1149,0.00,0.00,15.19,16,22.89,16.00,6.24,-8.43,0.00,-1.39,0.64,0.00,0.00,16.00
128913,0.29,1252,0.00,0.00,15.68,16,19.73,12.00,5.66,-9.11,0.00,-1.39,0.64,0.00,0.00,15.40
128979,0.25,1286,0.00,0.00,15.56,16,15.86,8.50,5.22,-9.42,0.00,-1.70,0.64,0.00,0.00,14.90
129046,0.23,1276,0.00,0.00,15.27,16,11.29,6.00,4.93,-9.75,0.00,-1.70,0.64,0.00,0.00,14.90
129113,0.22,1247,0.00,0.00,14.71,16,10.59,2.50,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.60
129178,0.22,1171,0.00,0.00,14.71,16,10.23,4.50,4.50,-10.27,0.00,-1.70,0.64,0.00,0.00,14.60
129244,0.23,1133,0.00,0.00,14.71,16,10.23,8.50,4.35,-10.31,0.00,-1.39,0.64,0.00,0.00,14.60
129311,0.24,1102,0.00,0.00,14.71,16,10.23,11.50,4.50,-10.25,0.00,-1.39,0.64,0.00,0.00,14.60
129377,0.24,1088,0.00,0.00,14.71,16,9.88,13.00,4.50,-10.23,0.00,-1.39,0.64,0.00,0.00,14.60
129444,0.24,1078,0.00,0.00,14.71,16,9.88,13.50,4.50,-10.19,0.00,-1.39,0.64,0.00,0.00,14.60
129509,0.24,1066,0.00,0.00,14.71,16,9.88,14.50,4.50,-10.15,0.00,-1.39,0.64,0.00,0.00,14.60
129576,0.24,1057,0.00,0.00,14.71,16,9.88,15.50,4.50,-10.15,0.00,-1.39,0.64,0.00,0.00,14.90
129641,0.24,1055,0.00,0.00,14.71,16,9.88,15.00,4.50,-10.13,0.00,-1.39,0.64,0.00,0.00,14.90
129708,0.24,1060,0.00,0.00,14.71,16,9.88,14.00,4.50,-10.15,0.00,-1.39,0.64,0.00,0.00,14.80
129773,0.24,1053,0.00,0.00,14.71,16,9.88,14.50,4.50,-10.15,0.00,-1.39,0.66,0.00,0.00,14.90
129844,0.26,1050,0.00,0.00,14.70,16,9.88,14.50,4.50,-10.13,0.00,-1.39,0.66,0.00,0.00,14.90
129906,0.27,1048,0.00,0.00,14.70,16,9.88,14.00,4.64,-10.04,0.00,-1.39,0.68,0.00,0.00,15.00
129972,0.28,1042,0.00,0.00,13.75,16,9.88,14.00,4.79,-9.88,0.00,-1.39,0.68,0.00,0.00,15.00
130039,0.29,1061,0.00,0.00,14.70,16,9.88,12.00,4.93,-9.78,0.00,-1.39,0.68,0.00,0.00,15.00
130105,0.29,1072,0.00,0.00,14.70,16,10.59,10.50,5.08,-9.61,0.00,-1.39,0.68,0.00,0.00,15.00
130171,0.30,1096,0.00,0.00,14.70,16,11.99,11.50,5.22,-9.51,0.00,-1.39,0.70,0.00,0.00,15.00
130237,0.31,1108,0.00,0.00,14.69,16,13.40,12.00,5.22,-9.36,0.00,-1.39,0.70,0.00,0.00,15.00
130304,0.31,1131,0.00,0.00,14.69,16,14.45,14.00,5.51,-9.24,0.00,-1.39,0.72,0.00,0.00,14.90
130369,0.32,1144,0.00,0.00,14.69,16,15.86,15.00,5.51,-9.11,0.00,-1.39,0.72,0.00,0.00,14.70
130435,0.32,1170,0.00,0.00,14.69,16,17.97,16.50,5.66,-9.01,0.00,-1.39,0.72,0.00,0.00,14.70
130502,0.33,1176,0.00,0.00,14.69,16,19.02,17.50,5.80,-8.88,0.00,-1.39,0.72,0.00,0.00,14.60
130568,0.33,1193,0.00,0.00,14.69,16,21.13,19.50,5.95,-8.80,0.00,-1.39,0.74,0.00,0.00,14.50
130634,0.33,1233,0.00,0.00,14.69,16,22.89,21.00,5.95,-8.72,0.00,-1.70,0.74,0.00,0.00,14.50
130701,0.33,1248,0.00,0.00,14.69,16,24.30,22.50,5.95,-8.68,0.00,-1.70,0.74,0.00,0.00,14.40
130767,0.33,1254,0.00,0.00,14.69,16,26.41,25.00,5.95,-8.64,0.00,-1.70,0.74,0.00,0.00,14.40
130833,0.34,1277,0.00,0.00,14.69,16,27.11,26.50,6.09,-8.66,0.00,-1.70,0.76,0.00,0.00,14.40
130899,0.34,1284,0.00,0.00,14.69,16,27.11,27.00,6.09,-8.60,0.00,-1.70,0.76,0.00,0.00,14.40
130965,0.35,1289,0.00,0.00,14.69,16,27.11,27.00,6.09,-8.59,0.00,-1.70,0.76,0.00,0.00,14.60
131032,0.35,1298,0.00,0.00,14.69,16,27.11,27.00,6.09,-8.57,0.00,-1.70,0.76,0.00,0.00,14.60
131098,0.36,1286,0.00,0.00,14.69,16,26.76,27.00,6.24,-8.51,0.00,-1.70,0.76,0.00,0.00,15.10
131163,0.36,1278,0.00,0.00,14.69,16,26.76,26.50,6.24,-8.45,0.00,-1.70,0.76,0.00,0.00,15.20
131229,0.37,1268,0.00,0.00,14.69,16,26.76,26.50,6.24,-8.39,0.00,-1.70,0.76,0.00,0.00,15.20
131297,0.37,1261,0.00,0.00,14.69,16,26.76,26.50,6.38,-8.31,0.00,-1.70,0.76,0.00,0.00,15.30
131363,0.37,1264,0.00,0.00,14.69,16,26.41,26.50,6.38,-8.26,0.00,-1.70,0.76,0.00,0.00,15.40
131429,0.38,1246,0.00,0.00,14.69,16,26.41,26.00,6.53,-8.18,0.00,-1.70,0.76,0.00,0.00,15.40
131494,0.38,1248,0.00,0.00,14.69,16,26.41,26.00,6.53,-8.10,0.00,-1.70,0.76,0.00,0.00,15.40
131561,0.38,1249,0.00,0.00,14.69,16,26.41,26.00,6.67,-8.02,0.00,-1.70,0.76,0.00,0.00,15.50
131627,0.38,1239,0.00,0.00,14.69,16,26.41,26.00,6.67,-7.95,0.00,-1.70,0.76,0.00,0.00,15.50
131693,0.38,1241,0.00,0.00,14.69,16,26.41,26.00,6.82,-7.93,0.00,-1.70,0.76,0.00,0.00,15.20
131759,0.38,1240,0.00,0.00,14.69,16,26.41,26.00,6.82,-7.85,0.00,-1.70,0.76,0.00,0.00,15.00
131825,0.39,1218,0.00,0.00,14.69,16,26.05,26.00,6.82,-7.79,0.00,-1.70,0.76,0.00,0.00,15.00
131891,0.40,1208,0.00,0.00,14.69,16,26.05,26.00,6.96,-7.70,0.00,-1.70,0.76,0.00,0.00,14.90
131958,0.41,1197,0.00,0.00,14.69,16,25.70,26.00,7.11,-7.62,0.00,-1.39,0.76,0.00,0.00,14.80
132025,0.42,1173,0.00,0.00,14.68,16,25.70,25.50,7.11,-7.50,0.00,-1.39,0.76,0.00,0.00,14.80
132090,0.42,1162,0.00,0.00,14.68,16,25.35,25.50,7.40,-7.41,0.00,-1.39,0.76,0.00,0.00,14.80
132155,0.43,1149,0.00,0.00,14.68,16,25.35,25.00,7.40,-7.29,0.00,-1.39,0.76,0.00,0.00,14.80
132222,0.42,1142,0.00,0.00,14.68,16,25.70,25.00,7.55,-7.21,0.00,-1.39,0.76,0.00,0.00,14.90
132288,0.40,1163,0.00,0.00,14.69,16,26.05,25.50,7.55,-7.17,0.00,-1.39,0.76,0.00,0.00,14.80
132354,0.40,1212,0.00,0.00,14.69,16,26.41,26.00,7.55,-7.17,0.00,-1.70,0.78,0.00,0.00,14.80
132421,0.39,1232,0.00,0.00,14.69,16,26.41,26.00,7.40,-7.27,0.00,-1.70,0.76,0.00,0.00,14.80
132487,0.39,1244,0.00,0.00,14.69,16,26.76,26.00,7.25,-7.37,0.00,-1.70,0.76,0.00,0.00,14.70
132553,0.39,1264,0.00,0.00,14.69,16,26.76,26.50,7.11,-7.44,0.00,-1.70,0.76,0.00,0.00,14.70
132619,0.38,1286,0.00,0.00,14.69,16,27.11,26.50,6.96,-7.60,0.00,-1.70,0.78,0.00,0.00,14.80
132685,0.37,1324,0.00,0.00,14.69,16,27.46,27.00,6.82,-7.75,0.00,-1.70,0.78,0.00,0.00,15.00
132751,0.35,1348,0.00,0.00,14.69,16,27.81,27.00,6.67,-7.93,0.00,-1.70,0.72,0.00,0.00,15.00
132817,0.31,1357,0.00,0.00,15.38,16,24.65,27.00,5.66,-8.72,0.00,-1.70,0.64,0.00,0.00,15.10
132883,0.27,1366,0.00,0.00,15.73,16,20.78,17.50,5.37,-9.15,0.00,-1.70,0.64,0.00,0.00,15.40
132950,0.24,1348,0.00,0.00,15.53,16,17.27,13.50,4.93,-9.65,0.00,-1.70,0.64,0.00,0.00,15.40
133016,0.22,1346,0.00,0.00,15.33,16,14.45,10.00,4.64,-10.02,0.00,-1.70,0.64,0.00,0.00,15.30
133082,0.21,1339,0.00,0.00,14.71,16,11.29,7.50,4.35,-10.29,0.00,-1.70,0.64,0.00,0.00,15.30
133149,0.20,1335,0.00,0.00,14.71,16,10.94,5.50,4.21,-10.50,0.00,-1.70,0.64,0.00,0.00,15.30
133214,0.19,1328,0.00,0.00,14.71,16,11.29,6.00,3.92,-10.67,0.00,-1.70,0.64,0.00,0.00,15.00
133281,0.19,1360,0.00,0.00,14.71,16,11.29,3.50,3.92,-10.83,0.00,-1.70,0.64,0.00,0.00,14.80
133347,0.18,1359,0.00,0.00,14.71,16,11.29,4.50,3.77,-10.93,0.00,-1.70,0.64,0.00,0.00,14.80
133413,0.18,1345,0.00,0.00,14.71,16,10.94,6.50,3.77,-10.96,0.00,-1.70,0.66,0.00,0.00,14.60
133479,0.19,1305,0.00,0.00,14.71,16,10.94,10.50,3.63,-11.00,0.00,-1.70,0.64,0.00,0.00,14.40
133546,0.20,1286,0.00,0.00,14.71,16,10.94,13.00,3.77,-11.00,0.00,-1.70,0.66,0.00,0.00,14.40
133612,0.21,1289,0.00,0.00,14.71,16,10.94,12.00,3.77,-10.96,0.00,-1.70,0.68,0.00,0.00,14.30
133678,0.24,1290,0.00,0.00,13.72,16,10.94,11.50,3.92,-10.83,0.00,-1.70,0.68,0.00,0.00,14.20
133744,0.25,1296,0.00,0.00,14.71,16,11.99,11.00,4.06,-10.65,0.00,-1.70,0.68,0.00,0.00,14.20
133810,0.25,1277,0.00,0.00,14.71,16,13.40,11.50,4.35,-10.48,0.00,-1.70,0.70,0.00,0.00,14.10
133876,0.26,1279,0.00,0.00,14.71,16,14.80,14.00,4.35,-10.33,0.00,-1.70,0.70,0.00,0.00,14.10
133943,0.27,1281,0.00,0.00,14.71,16,16.21,15.50,4.50,-10.21,0.00,-1.70,0.72,0.00,0.00,14.10
134009,0.28,1278,0.00,0.00,14.70,16,17.62,16.50,4.64,-10.07,0.00,-1.70,0.72,0.00,0.00,14.10
134074,0.30,1294,0.00,0.00,14.70,16,19.02,18.50,4.79,-9.90,0.00,-1.70,0.72,0.00,0.00,14.10
134140,0.31,1282,0.00,0.00,14.70,16,20.08,20.00,5.08,-9.71,0.00,-1.70,0.72,0.00,0.00,14.10
134208,0.31,1279,0.00,0.00,14.70,16,21.48,21.00,5.22,-9.51,0.00,-1.70,0.74,0.00,0.00,14.00
134273,0.32,1275,0.00,0.00,14.69,16,23.95,23.00,5.37,-9.36,0.00,-1.70,0.76,0.00,0.00,13.90
134339,0.35,1286,0.00,0.00,13.75,16,26.76,25.00,5.51,-9.22,0.00,-1.70,0.76,0.00,0.00,13.90
134406,0.37,1315,0.00,0.00,14.69,16,27.46,27.00,5.80,-8.93,0.00,-1.70,0.78,0.00,0.00,13.80
134472,0.38,1320,0.00,0.00,14.69,16,27.46,27.00,6.09,-8.68,0.00,-1.70,0.78,0.00,0.00,13.80
134538,0.39,1339,0.00,0.00,14.69,16,27.46,27.00,6.24,-8.47,0.00,-1.70,0.78,0.00,0.00,13.80
134604,0.39,1346,0.00,0.00,14.69,16,27.81,27.50,6.53,-8.28,0.00,-1.70,0.80,0.00,0.00,13.90
134670,0.40,1370,0.00,0.00,14.68,16,28.16,27.50,6.67,-8.10,0.00,-1.70,0.80,0.00,0.00,13.90
134737,0.40,1391,0.00,0.00,14.69,16,28.16,28.00,6.82,-7.99,0.00,-1.70,0.80,0.00,0.00,13.90
134803,0.40,1427,0.00,0.00,14.69,16,28.16,28.00,6.82,-7.81,0.00,-1.70,0.82,0.00,0.00,14.00
134869,0.40,1448,0.00,0.00,14.68,16,28.52,28.50,6.96,-7.72,0.00,-1.70,0.82,0.00,0.00,14.20
134936,0.41,1460,0.00,0.00,14.68,16,28.52,28.50,7.11,-7.62,0.00,-1.70,0.82,0.00,0.00,14.20
135001,0.42,1498,0.00,0.00,14.68,16,28.87,28.50,7.25,-7.52,0.00,-1.70,0.82,0.00,0.00,14.40
135068,0.43,1526,0.00,0.00,14.68,16,28.87,29.00,7.25,-7.43,0.00,-1.70,0.82,0.00,0.00,14.60
135134,0.43,1534,0.00,0.00,14.68,16,29.22,29.00,7.40,-7.35,0.00,-1.70,0.82,0.00,0.00,14.60
135200,0.41,1566,0.00,0.00,14.68,16,29.57,29.50,7.40,-7.27,0.00,-1.70,0.84,0.00,0.00,15.30
135266,0.41,1598,0.00,0.00,14.69,16,29.92,29.50,7.40,-7.27,0.00,-1.70,0.84,0.00,0.00,15.60
135333,0.41,1628,0.00,0.00,14.69,16,29.92,29.50,7.40,-7.31,0.00,-1.70,0.84,0.00,0.00,15.60
135399,0.41,1636,0.00,0.00,14.69,16,30.27,30.00,7.40,-7.37,0.00,-1.70,0.84,0.00,0.00,15.70
135465,0.40,1665,0.00,0.00,14.69,16,30.62,30.00,7.25,-7.48,0.00,-1.70,0.84,0.00,0.00,15.70
135531,0.40,1692,0.00,0.00,14.69,16,30.62,30.50,7.11,-7.58,0.00,-1.70,0.84,0.00,0.00,15.70
135597,0.39,1720,0.00,0.00,14.69,16,30.98,30.50,6.96,-7.70,0.00,-1.70,0.84,0.00,0.00,15.60
135663,0.39,1748,0.00,0.00,14.69,16,31.33,31.00,6.96,-7.77,0.00,-1.70,0.84,0.00,0.00,15.50
135730,0.38,1781,0.00,0.00,14.69,16,31.68,31.50,6.82,-7.89,0.00,-1.70,0.84,0.00,0.00,15.50
135796,0.38,1801,0.00,0.00,14.69,16,32.03,31.50,6.67,-7.97,0.00,-1.70,0.84,0.00,0.00,15.40
135862,0.37,1826,0.00,0.00,14.70,16,32.03,32.00,6.67,-8.04,0.00,-1.70,0.84,0.00,0.00,15.30
135928,0.37,1848,0.00,0.00,14.70,16,32.38,32.00,6.53,-8.14,0.00,-1.70,0.84,0.00,0.00,15.30
135995,0.36,1861,0.00,0.00,14.70,16,32.38,32.00,6.53,-8.22,0.00,-1.70,0.82,0.00,0.00,15.10
136061,0.34,1883,0.00,0.00,14.70,16,32.73,32.50,6.38,-8.30,0.00,-1.70,0.82,0.00,0.00,15.00
136127,0.34,1910,0.00,0.00,14.70,16,33.09,32.50,6.38,-8.35,0.00,-1.70,0.82,0.00,0.00,15.00
136192,0.33,1931,0.00,0.00,14.70,16,33.09,33.00,6.24,-8.41,0.00,-1.70,0.82,0.00,0.00,14.70
136259,0.33,1934,0.00,0.00,14.70,16,33.09,33.00,6.24,-8.47,0.00,-1.70,0.82,0.00,0.00,14.70
136325,0.32,1948,0.00,0.00,14.70,16,33.44,33.00,6.24,-8.51,0.00,-1.70,0.82,0.00,0.00,14.70
136391,0.32,1968,0.00,0.00,14.70,16,33.79,33.00,6.24,-8.53,0.00,-1.70,0.82,0.00,0.00,14.70
136458,0.31,2002,0.00,0.00,14.71,16,33.79,33.50,6.09,-8.59,0.00,-1.70,0.82,0.00,0.00,14.60
136523,0.27,2010,0.00,0.00,15.28,16,33.09,33.50,5.80,-8.89,0.00,-2.01,0.68,0.00,0.00,14.60
136590,0.22,2004,0.00,0.00,15.61,16,28.16,32.00,4.93,-9.94,0.00,-2.01,0.64,0.00,0.00,14.70
136656,0.18,1946,0.00,0.00,15.29,16,21.84,25.50,4.21,-10.46,0.00,-1.70,0.64,0.00,0.00,14.80
136722,0.14,1914,0.00,0.00,14.70,16,16.91,20.00,3.92,-10.81,0.00,-1.70,0.64,0.00,0.00,14.80
136789,0.14,1909,0.00,0.00,14.70,16,13.40,15.50,3.77,-11.02,0.00,-1.70,0.64,0.00,0.00,14.80
136855,0.14,1950,0.00,0.00,14.70,16,11.99,12.00,3.63,-11.18,0.00,-1.70,0.64,0.00,0.00,14.80
136921,0.14,1986,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.14,0.00,-1.70,0.64,0.00,0.00,14.60
