Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
22795,0.00,-3.91,14.70,8,0.28,941,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.32,1.34,0.00,-9.32
22867,0.00,-3.91,14.70,8,0.28,937,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.32,1.34,0.00,-9.28
22939,-0.78,-3.91,14.70,8,0.28,941,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.32,1.34,0.00,-9.34
23000,0.00,-3.91,14.59,8,0.28,933,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.32,1.34,0.00,-9.28
23072,0.00,-3.91,14.70,8,0.28,936,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,4.32,1.34,0.00,-9.34
23144,0.00,-3.91,14.70,8,0.28,936,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,4.32,1.34,0.00,-9.30
23209,-0.78,-3.91,14.59,8,0.28,938,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,4.32,1.34,0.00,-9.30
23281,-0.78,-3.91,14.59,8,0.28,933,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.32,1.34,0.00,-9.32
23345,-0.78,-3.91,14.59,8,0.28,936,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.32,1.36,0.00,-9.34
23417,-0.78,-3.91,14.70,8,0.28,942,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.32,1.36,0.00,-9.32
23481,0.00,-3.91,14.59,8,0.28,941,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.32,1.36,0.00,-9.34
23553,0.00,-3.91,14.70,8,0.28,932,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.36,0.00,-9.32
23617,0.00,-3.91,14.70,8,0.29,922,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.36,0.00,-9.30
23685,0.00,-3.91,14.81,8,0.28,925,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.35,1.36,0.00,-9.30
23757,0.00,-3.91,14.70,8,0.28,940,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.32,1.34,0.00,-9.30
23821,0.00,-3.91,14.70,8,0.28,934,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.34,0.00,-9.34
23893,0.00,-3.91,14.70,8,0.28,932,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.32,1.34,0.00,-9.30
23965,0.00,-3.91,14.81,8,0.28,934,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,4.35,1.34,0.00,-9.34
24029,0.00,-3.91,14.70,8,0.28,936,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.32,1.34,0.00,-9.30
24101,0.00,-3.91,14.70,8,0.28,944,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.32,1.34,0.00,-9.36
24165,0.00,-3.91,14.70,8,0.28,936,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.34,0.00,-9.34
24237,0.00,-3.91,14.70,8,0.28,944,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.32,1.34,0.00,-9.36
24301,0.00,-3.91,14.70,8,0.27,955,0.00,0.00,16,14.70,9.88,7.00,0.64,5.37,4.29,1.32,0.00,-9.40
24373,0.00,-3.91,14.59,8,0.27,926,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,4.26,1.32,0.00,-9.40
26428,0.00,-3.91,14.59,8,0.27,926,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,4.26,1.32,0.00,-9.40
27065,-0.78,-3.91,14.70,8,0.28,902,0.00,0.00,16,14.70,9.88,11.00,0.64,5.37,4.24,1.34,0.00,-9.36
27123,-0.78,-3.91,14.70,8,0.28,900,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.24,1.34,0.00,-9.34
27196,-0.78,-3.91,14.70,8,0.28,904,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.21,1.34,0.00,-9.36
27260,-0.78,-3.91,14.70,8,0.27,910,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.21,1.34,0.00,-9.36
27332,-0.78,-3.91,14.70,8,0.27,918,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.15,1.34,0.00,-9.38
27404,-0.78,-3.91,14.81,8,0.28,902,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.15,1.34,0.00,-9.36
27468,-0.78,-3.91,14.70,8,0.28,901,0.00,0.00,16,14.70,9.88,11.00,0.64,5.37,4.15,1.34,0.00,-9.38
27546,-0.78,-3.91,14.70,8,0.28,902,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.21,1.34,0.00,-9.36
27610,-0.78,-3.91,14.70,8,0.27,915,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.21,1.34,0.00,-9.38
27674,-0.78,-3.91,14.70,8,0.28,915,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.18,1.34,0.00,-9.36
27746,-0.78,-3.91,14.70,8,0.28,912,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.21,1.34,0.00,-9.40
27813,-0.78,-3.91,14.70,8,0.27,907,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.21,1.34,0.00,-9.38
27877,-0.78,-3.91,14.70,8,0.27,922,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,4.18,1.34,0.00,-9.44
27949,-0.78,-3.91,14.70,8,0.27,917,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.15,1.34,0.00,-9.44
28015,-0.78,-3.91,14.70,8,0.27,914,0.00,0.00,16,14.70,9.88,11.00,0.64,5.22,4.15,1.34,0.00,-9.42
28087,-0.78,-3.91,14.70,8,0.28,901,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.18,1.34,0.00,-9.40
28151,-0.78,-3.91,14.59,8,0.27,906,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,4.18,1.34,0.00,-9.42
28223,-0.78,-3.91,14.59,8,0.28,914,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.18,1.34,0.00,-9.42
28292,-0.78,-3.91,14.59,8,0.27,904,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,4.18,1.34,0.00,-9.42
28355,-0.78,-3.91,14.59,8,0.27,912,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.18,1.34,0.00,-9.44
28427,-0.78,-3.91,14.59,8,0.28,896,0.00,0.00,16,14.70,9.88,11.50,0.64,5.22,4.15,1.34,0.00,-9.42
28499,-1.56,-3.91,14.59,8,0.28,903,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.15,1.34,0.00,-9.44
28563,-1.56,-3.91,14.47,8,0.27,903,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,4.15,1.34,0.00,-9.42
28635,-1.56,-3.91,14.47,8,0.27,910,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,4.15,1.34,0.00,-9.42
28699,-1.56,-3.91,14.36,8,0.27,903,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.15,1.34,0.00,-9.42
28771,-2.34,-3.91,14.47,8,0.27,914,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,4.15,1.34,0.00,-9.44
