Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
46681,14.40,0.17,1470,0.00,0.00,16,10.23,11.50,8.27,-1.39,0.64
46853,14.51,0.17,1454,0.00,0.00,16,10.23,13.00,8.06,-1.39,0.64
47040,14.23,0.16,1466,0.00,0.00,16,10.23,11.50,8.03,-1.39,0.64
47203,14.15,0.16,1470,0.00,0.00,16,10.23,11.00,8.11,-1.39,0.64
47373,14.28,0.17,1464,0.00,0.00,16,10.23,11.50,8.27,-1.39,0.64
47545,14.37,0.17,1470,0.00,0.00,16,10.23,11.00,8.19,-1.39,0.64
47717,14.26,0.17,1470,0.00,0.00,16,10.23,11.00,8.14,-1.39,0.64
47904,14.32,0.17,1468,0.00,0.00,16,10.23,11.00,8.23,-1.39,0.64
48076,14.43,0.16,1475,0.00,0.00,16,10.23,10.50,8.11,-1.39,0.64
48248,14.19,0.17,1462,0.00,0.00,16,10.23,11.50,8.06,-1.39,0.64
48420,14.40,0.16,1471,0.00,0.00,16,10.23,10.50,8.03,-1.39,0.64
48592,14.49,0.17,1448,0.00,0.00,16,10.23,13.00,8.03,-1.39,0.64
48763,14.67,0.16,1452,0.00,0.00,16,10.23,11.50,7.86,-1.39,0.64
48935,14.54,0.16,1446,0.00,0.00,16,10.23,12.50,7.86,-1.39,0.64
49107,14.67,0.17,1440,0.00,0.00,16,10.23,12.50,8.06,-1.39,0.64
49279,14.68,0.17,1442,0.00,0.00,16,10.23,12.00,8.03,-1.39,0.62
49451,14.67,0.17,1435,0.00,0.00,16,10.23,11.50,8.06,-1.39,0.64
49623,14.74,0.17,1454,0.00,0.00,16,10.23,10.50,8.19,-1.39,0.64
49795,14.60,0.17,1461,0.00,0.00,16,10.23,10.00,7.98,-1.39,0.64
49982,14.35,0.17,1462,0.00,0.00,16,10.23,10.00,8.19,-1.39,0.64
50154,14.19,0.17,1477,0.00,0.00,16,10.23,9.50,8.11,-1.39,0.64
50326,14.16,0.16,1467,0.00,0.00,16,10.23,10.50,7.90,-1.39,0.64
50498,14.21,0.17,1462,0.00,0.00,16,10.23,11.50,8.06,-1.39,0.64
