Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
32306,14.56,0.13,1225,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,187,0.00
32493,14.63,0.13,1228,0.00,0.00,16,10.59,10.00,5.21,-1.39,0.64,187,0.00
32680,14.53,0.13,1239,0.00,0.00,16,10.59,9.00,5.27,-1.39,0.64,187,0.00
32884,14.51,0.13,1230,0.00,0.00,16,10.59,9.00,5.30,-1.39,0.64,187,0.00
33055,14.58,0.13,1241,0.00,0.00,16,10.59,8.50,5.30,-1.39,0.64,187,0.00
33259,14.69,0.13,1235,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,187,0.00
33446,14.70,0.13,1233,0.00,0.00,16,10.59,11.00,5.27,-1.39,0.64,187,0.00
33634,14.76,0.13,1239,0.00,0.00,16,10.59,9.50,5.27,-1.39,0.64,187,0.00
33821,14.74,0.13,1231,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,187,0.00
34009,14.74,0.13,1239,0.00,0.00,16,10.59,9.50,5.21,-1.39,0.64,187,0.00
34196,14.70,0.13,1229,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,187,0.00
34399,14.63,0.13,1237,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,187,0.00
34587,14.74,0.13,1242,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,187,0.00
34774,14.67,0.13,1242,0.00,0.00,16,10.59,10.50,5.30,-1.39,0.64,187,0.00
34962,14.56,0.13,1243,0.00,0.00,16,10.59,10.50,5.30,-1.39,0.64,187,0.00
35165,14.69,0.13,1248,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,187,0.00
35352,14.63,0.13,1251,0.00,0.00,16,10.59,10.00,5.27,-1.39,0.64,187,0.00
35540,14.65,0.13,1244,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,187,0.00
35727,14.65,0.13,1236,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,187,0.00
35915,14.65,0.13,1234,0.00,0.00,16,10.59,11.00,5.33,-1.39,0.64,187,0.00
36102,14.51,0.13,1239,0.00,0.00,16,10.59,10.50,5.30,-1.39,0.64,187,0.00
36305,14.51,0.13,1229,0.00,0.00,16,10.59,11.50,5.30,-1.39,0.64,187,0.00
36493,14.60,0.13,1238,0.00,0.00,16,10.59,10.50,5.27,-1.39,0.64,189,0.00
36680,14.65,0.13,1232,0.00,0.00,16,10.59,11.00,5.23,-1.39,0.64,187,0.00
36868,14.72,0.13,1227,0.00,0.00,16,10.59,11.00,5.27,-1.39,0.64,189,0.00
37055,14.77,0.13,1227,0.00,0.00,16,10.59,11.50,5.30,-1.39,0.64,189,0.00
37259,14.79,0.13,1231,0.00,0.00,16,10.59,10.50,5.23,-1.39,0.64,189,0.00
37446,14.73,0.13,1230,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,189,0.00
