Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
45212,14.24,0.24,1857,0.00,0.00,16,35.90,35.50,7.55,-7.12,14.92,-1.49,0.86
45402,14.36,0.24,1844,0.00,0.00,16,35.90,35.00,7.40,-7.23,14.79,-1.49,0.86
45592,14.36,0.23,1856,0.00,0.00,16,35.55,35.50,7.40,-7.27,14.47,-1.49,0.86
45781,14.24,0.23,1868,0.00,0.00,16,35.55,35.50,7.40,-7.31,14.79,-1.49,0.86
45972,14.36,0.23,1872,0.00,0.00,16,35.20,35.50,7.40,-7.33,14.60,-1.49,0.86
46161,14.47,0.23,1871,0.00,0.00,16,35.55,35.50,7.40,-7.33,14.34,-1.49,0.86
46357,14.59,0.23,1882,0.00,0.00,16,35.55,35.50,7.40,-7.35,14.60,-1.49,0.86
46548,14.47,0.23,1879,0.00,0.00,16,35.55,35.50,7.40,-7.35,14.60,-1.49,0.86
46738,14.24,0.23,1885,0.00,0.00,16,35.55,35.50,7.40,-7.35,14.60,-1.49,0.86
46930,14.36,0.23,1864,0.00,0.00,16,35.55,35.50,7.40,-7.29,14.40,-1.49,0.86
47121,14.47,0.24,1866,0.00,0.00,16,35.90,35.50,7.55,-7.17,14.98,-1.49,0.88
47312,14.59,0.24,1864,0.00,0.00,16,35.90,35.50,7.55,-7.10,15.11,-1.49,0.88
47501,14.47,0.25,1888,0.00,0.00,16,36.25,36.00,7.69,-6.98,15.55,-1.49,0.88
47690,14.47,0.25,1892,0.00,0.00,16,36.60,36.50,7.84,-6.86,15.85,-1.49,0.90
47886,14.47,0.26,1895,0.00,0.00,16,36.95,36.50,7.98,-6.69,16.51,-1.49,0.90
48073,14.47,0.27,1898,0.00,0.00,16,36.95,37.00,8.13,-6.56,16.96,-1.49,0.90
48265,14.13,0.27,1900,0.00,0.00,16,37.30,37.00,8.27,-6.46,16.96,-1.49,0.90
48456,14.47,0.27,1910,0.00,0.00,16,37.30,37.00,8.27,-6.42,16.51,-1.49,0.90
48645,14.24,0.27,1914,0.00,0.00,16,38.01,37.50,8.27,-6.40,17.33,-1.49,0.90
48838,14.36,0.27,1920,0.00,0.00,16,38.01,37.50,8.27,-6.40,17.19,-1.49,0.90
49030,14.36,0.27,1942,0.00,0.00,16,38.36,38.00,8.42,-6.32,17.48,-1.49,0.92
49219,14.59,0.31,1955,0.00,0.00,16,38.71,39.00,9.00,-5.69,20.06,-1.49,0.98
49414,14.01,0.34,1963,0.00,0.00,16,39.41,39.00,9.72,-4.93,21.63,-0.27,1.02
49607,14.59,0.36,1971,0.00,0.00,16,38.36,39.50,10.45,-4.31,23.74,0.04,1.04
49793,14.36,0.36,1976,0.00,0.00,16,39.06,39.50,10.59,-4.08,23.63,0.04,1.04
49988,14.59,0.35,2010,0.00,0.00,16,39.06,39.00,10.74,-4.02,23.73,0.04,1.04
50175,14.47,0.36,2018,0.00,0.00,16,39.41,39.00,10.74,-4.00,24.23,0.04,1.04
50366,14.24,0.36,2046,0.00,0.00,16,39.41,39.00,10.74,-4.00,24.71,0.04,1.04
50560,14.24,0.35,2076,0.00,0.00,16,40.47,40.00,10.74,-4.04,24.71,0.04,1.04
50750,14.24,0.35,2092,0.00,0.00,16,40.82,40.00,10.59,-4.12,24.71,-0.27,1.04
50941,14.47,0.35,2120,0.00,0.00,16,40.82,40.00,10.59,-4.14,25.20,-0.27,1.04
51132,14.47,0.34,2142,0.00,0.00,16,40.82,41.00,10.45,-4.27,24.80,-0.27,1.04
51323,14.24,0.34,2147,0.00,0.00,16,41.52,41.00,10.30,-4.35,24.90,-0.27,1.04
51514,14.36,0.35,2193,0.00,0.00,16,41.88,41.50,10.16,-4.54,24.91,-0.27,1.02
51704,14.01,0.34,2228,0.00,0.00,16,42.23,42.00,10.01,-4.70,25.01,-0.27,1.02
51896,14.24,0.32,2214,0.00,0.00,16,42.58,42.00,9.72,-4.87,23.73,-0.89,1.00
52087,14.59,0.32,2252,0.00,0.00,16,42.93,42.50,9.58,-5.10,23.93,-1.49,1.00
52279,14.59,0.33,2262,0.00,0.00,16,42.93,42.50,9.43,-5.20,24.51,-1.49,1.00
52469,14.24,0.32,2286,0.00,0.00,16,43.63,43.00,9.29,-5.32,24.23,-1.80,1.00
52657,14.47,0.31,2312,0.00,0.00,16,43.98,43.50,9.14,-5.59,23.83,-2.11,0.98
52850,14.59,0.30,2333,0.00,0.00,16,44.34,43.50,8.85,-5.94,23.25,-2.73,0.94
53042,14.13,0.28,2350,0.00,0.00,16,45.04,44.50,8.42,-6.25,22.24,-2.73,0.94
53230,14.47,0.28,2359,0.00,0.00,16,45.04,45.00,8.27,-6.42,22.06,-3.04,0.94
53424,14.59,0.28,2362,0.00,0.00,16,45.39,45.00,8.13,-6.52,22.07,-3.04,0.94
53617,14.59,0.27,2384,0.00,0.00,16,45.39,45.00,8.13,-6.61,21.80,-3.04,0.94
53807,14.59,0.26,2409,0.00,0.00,16,45.39,45.00,7.98,-6.81,21.00,-3.04,0.92
53999,14.47,0.25,2395,0.00,0.00,16,45.04,45.00,7.69,-7.04,20.23,-3.04,0.90
54190,14.36,0.25,2394,0.00,0.00,16,44.69,44.50,7.40,-7.23,19.81,-3.04,0.90
54381,14.36,0.24,2398,0.00,0.00,16,43.98,44.00,7.25,-7.48,18.80,-3.04,0.88
54573,14.13,0.22,2422,0.00,0.00,16,43.63,43.50,6.96,-7.83,17.79,-3.04,0.88
54764,14.47,0.21,2397,0.00,0.00,16,43.28,43.00,6.53,-8.10,17.03,-3.04,0.86
54954,14.36,0.20,2394,0.00,0.00,16,41.88,42.50,6.24,-8.41,16.67,-3.04,0.82
55144,14.13,0.16,2399,0.00,0.00,16,39.41,40.00,5.37,-9.20,13.32,-3.04,0.78
55336,13.55,0.15,2366,0.00,0.00,16,38.01,38.00,5.08,-9.63,11.82,-3.04,0.76
55527,13.90,0.15,2399,0.00,0.00,16,38.36,38.00,4.79,-9.86,11.82,-3.04,0.76
55719,14.01,0.14,2370,0.00,0.00,16,37.30,37.00,4.64,-10.09,10.74,-3.04,0.74
55911,14.01,0.13,2352,0.00,0.00,16,36.60,36.50,4.35,-10.33,10.13,-2.73,0.74
56098,14.36,0.12,2331,0.00,0.00,16,35.20,35.50,4.06,-10.62,8.78,-2.73,0.70
56291,14.24,0.11,2337,0.00,0.00,16,35.20,35.00,3.77,-10.93,8.19,-2.73,0.70
56482,14.01,0.11,2314,0.00,0.00,16,34.84,34.50,3.63,-11.08,8.14,-2.73,0.70
56674,13.78,0.11,2298,0.00,0.00,16,34.84,34.50,3.63,-11.10,8.11,-2.73,0.70
56865,13.78,0.11,2298,0.00,0.00,16,34.84,34.50,3.63,-11.10,8.22,-2.73,0.70
57053,14.24,0.11,2275,0.00,0.00,16,35.20,34.50,3.77,-10.98,8.74,-2.73,0.74
57248,14.81,0.12,2258,0.00,0.00,16,34.84,35.00,3.92,-10.77,9.00,-2.73,0.74
57438,15.27,0.12,2220,0.00,0.00,16,35.20,34.50,4.06,-10.67,8.87,-2.42,0.74
57629,15.39,0.12,2227,0.00,0.00,16,35.20,34.50,4.06,-10.60,8.64,-2.42,0.74
57817,15.39,0.13,2238,0.00,0.00,16,35.20,35.00,4.21,-10.50,9.17,-2.42,0.76
58006,15.16,0.12,2230,0.00,0.00,16,34.84,34.50,4.35,-10.40,8.78,-2.42,0.76
58196,14.70,0.12,2209,0.00,0.00,16,34.84,34.50,4.35,-10.31,9.04,-2.42,0.76
58385,14.93,0.12,2193,0.00,0.00,16,34.84,34.50,4.50,-10.19,9.00,-2.11,0.78
58577,14.93,0.13,2181,0.00,0.00,16,35.20,34.50,4.50,-10.15,9.35,-2.42,0.78
